Scanning 2774 .FAN files in data/e1-dos/

File                                                Ver  NNS Internal Name                 
--------------------------------------------------------------------------------------------
SCENES/1DEMONES.FAN                                   7    - -                             
SCENES/1TOPFRIE.FAN                                  23    - 1topfriend                    
SCENES/1WISARDH.FAN                                  26    0 1wisardhit1                   
SCENES/2DEMONES.FAN                                   7    - -                             
SCENES/2TOPFRIE.FAN                                   8    - -                             
SCENES/2WISARDH.FAN                                  26    0 2wisardhit2                   
SCENES/3DEMONES.FAN                                   7    - -                             
SCENES/3TOPFRIE.FAN                                   8    - -                             
SCENES/3WISARDH.FAN                                  26    0 3wisardhit3                   
SCENES/4WISARDH.FAN                                  27    0 4wisardhit4                   
SCENES/5WISARDH.FAN                                  27    0 5wisardhit5                   
SCENES/6WISARDH.FAN                                  27    0 6wisardhit6                   
SCENES/ACTORS.FAN                                    27    0 actors                        
SCENES/AFT_INT.FAN                                   11    - -                             
SCENES/ALTAR_D.FAN                                    9    - -                             
SCENES/ALTAR_F.FAN                                   24    - altar_f                       
SCENES/ALTAR_G.FAN                                   24    - altar_g                       
SCENES/ALTAR_H.FAN                                   25    - altar_h                       
SCENES/ANGER-L.FAN                                   25    - anger-l                       
SCENES/ANGER_L.FAN                                   25    - anger_l                       
SCENES/ANGER_L2.FAN                                  26    0 anger_l2                      
SCENES/ANGER_L3.FAN                                  26    0 anger_l3                      
SCENES/ANGER_L4.FAN                                  26    0 anger_l4                      
SCENES/ANNA1.FAN                                     10    - -                             
SCENES/AVE2_L.FAN                                    19    - -                             
SCENES/AVE2_R.FAN                                    24    - ave2_r                        
SCENES/AVEMARIA.FAN                                  10    - -                             
SCENES/AVE_L.FAN                                     19    - -                             
SCENES/AVE_R.FAN                                     24    - ave_r                         
SCENES/A_AWAY.FAN                                    23    - a_away                        
SCENES/A_TROI30.FAN                                  14    - -                             
SCENES/BACKSHOP.FAN                                   8    - -                             
SCENES/BALAIE.FAN                                    24    - balaie                        
SCENES/BALAIE1.FAN                                    8    - -                             
SCENES/BALAIE3.FAN                                   23    - balaie3                       
SCENES/BAR.FAN                                        7    - -                             
SCENES/BAR1.FAN                                       7    - -                             
SCENES/BAR2.FAN                                       7    - -                             
SCENES/BARRY.FAN                                     15    - -                             
SCENES/BAS.FAN                                        9    - -                             
SCENES/BAS2.FAN                                       9    - -                             
SCENES/BAS3.FAN                                      19    - -                             
SCENES/BAS4.FAN                                       9    - -                             
SCENES/BAS5.FAN                                       9    - -                             
SCENES/BAT1.FAN                                       8    - -                             
